influencer_id,followers,likes,comments,shares,saves,profile_visits,link_clicks,purchase,engagement_score,ctr,conversion_rate
52,136932,4748,195,104,179,569,135,0,1263.1,0.23725834797891038,0.0
24,46090,997,48,26,28,135,20,0,264.0,0.14814814814814814,0.0
22,470148,25649,555,570,656,4063,852,1,6331.1,0.20969726802855032,0.0011737089201877935
47,433989,15612,477,341,341,3458,522,1,3872.4,0.1509543088490457,0.0019157088122605363
4,275936,26834,1136,431,641,6355,1474,1,6749.3,0.23194335169158142,0.0006784260515603799
8,377654,12790,327,174,642,2366,384,1,3356.9,0.16229923922231615,0.0026041666666666665
93,443974,38795,1085,694,2213,9522,1884,1,10557.699999999999,0.19785759294265912,0.0005307855626326964
62,60591,5305,211,110,230,1554,438,1,1427.5,0.28185328185328185,0.00228310502283105
29,318358,10576,112,195,378,1678,174,1,2610.1000000000004,0.10369487485101311,0.005747126436781609
8,18986,1579,54,45,72,446,158,0,431.90000000000003,0.3542600896860987,0.0
33,356279,17694,650,412,772,2741,735,1,4769.8,0.2681503101058008,0.0013605442176870747
47,477525,41980,1631,617,1269,4537,1420,1,10658.6,0.31298214679303504,0.0007042253521126761
77,258618,5822,206,94,234,1638,286,1,1520.4,0.1746031746031746,0.0034965034965034965
43,255396,9782,127,154,258,2797,957,1,2334.1000000000004,0.34215230604218805,0.0010449320794148381
6,493219,41575,726,1157,1728,10871,4009,1,10870.3,0.36877932112961087,0.0002494387627837366
97,166152,6352,172,167,345,644,163,0,1749.3000000000002,0.2531055900621118,0.0
37,233576,6911,162,199,227,1408,437,1,1784.1,0.3103693181818182,0.002288329519450801
58,198075,7873,298,190,204,2358,424,0,2019.8000000000002,0.179813401187447,0.0
92,379325,8589,204,194,405,1770,414,1,2279.6000000000004,0.23389830508474577,0.0024154589371980675
68,188734,15274,297,375,530,3458,1003,1,3889.8,0.2900520532099479,0.0009970089730807576
16,423400,13573,411,324,737,2242,372,1,3736.5000000000005,0.16592328278322926,0.002688172043010753
19,147483,10561,179,251,374,3034,428,1,2676.6,0.14106789716545814,0.002336448598130841
89,379705,35682,1609,540,1655,9400,2505,1,9642.900000000001,0.26648936170212767,0.0003992015968063872
2,167688,4602,211,128,208,772,158,1,1281.9,0.20466321243523317,0.006329113924050633
3,9499,864,35,19,20,114,42,0,219.60000000000002,0.3684210526315789,0.0
99,393207,11056,403,111,292,2318,712,1,2724.0,0.3071613459879206,0.0014044943820224719
41,99179,7634,148,126,380,1755,622,1,1993.0000000000002,0.3544159544159544,0.001607717041800643
33,261687,7194,177,110,214,2119,461,1,1775.5000000000002,0.21755545068428503,0.0021691973969631237
27,297890,24899,749,536,988,3462,1096,1,6519.9,0.316580011554015,0.0009124087591240876
35,376760,8849,440,171,275,2448,793,0,2329.5,0.32393790849673204,0.0
93,363896,23369,768,691,537,3765,592,1,5971.1,0.15723771580345286,0.0016891891891891893
67,259079,12906,332,346,738,1472,239,1,3579.8,0.16236413043478262,0.0041841004184100415
