influencer_id,followers,likes,comments,shares,saves,profile_visits,link_clicks,purchase
52,136932,4748,195,104,179,569,135,0
24,46090,997,48,26,28,135,20,0
22,470148,25649,555,570,656,4063,852,1
47,433989,15612,477,341,341,3458,522,1
4,275936,26834,1136,431,641,6355,1474,1
8,377654,12790,327,174,642,2366,384,1
93,443974,38795,1085,694,2213,9522,1884,1
62,60591,5305,211,110,230,1554,438,1
29,318358,10576,112,195,378,1678,174,1
8,18986,1579,54,45,72,446,158,0
33,356279,17694,650,412,772,2741,735,1
47,477525,41980,1631,617,1269,4537,1420,1
77,258618,5822,206,94,234,1638,286,1
43,255396,9782,127,154,258,2797,957,1
6,493219,41575,726,1157,1728,10871,4009,1
97,166152,6352,172,167,345,644,163,0
37,233576,6911,162,199,227,1408,437,1
58,198075,7873,298,190,204,2358,424,0
92,379325,8589,204,194,405,1770,414,1
68,188734,15274,297,375,530,3458,1003,1
16,423400,13573,411,324,737,2242,372,1
19,147483,10561,179,251,374,3034,428,1
89,379705,35682,1609,540,1655,9400,2505,1
2,167688,4602,211,128,208,772,158,1
3,9499,864,35,19,20,114,42,0
99,393207,11056,403,111,292,2318,712,1
41,99179,7634,148,126,380,1755,622,1
33,261687,7194,177,110,214,2119,461,1
27,297890,24899,749,536,988,3462,1096,1
35,376760,8849,440,171,275,2448,793,0
93,363896,23369,768,691,537,3765,592,1
67,259079,12906,332,346,738,1472,239,1
23,302921,12217,266,200,659,1555,486,1
42,155262,8319,168,184,193,840,242,1
8,273799,14167,170,392,298,3056,707,1
51,98848,3203,157,85,174,480,53,0
60,490988,30332,1237,434,1362,3550,410,1
47,216810,15392,600,454,625,2533,857,1
92,108481,2850,31,83,152,681,151,0
1,397942,15925,509,386,739,2484,959,1
63,21964,1514,40,22,51,380,39,0
69,180150,4189,185,100,163,500,123,0
33,323717,17709,459,395,804,1931,410,1
58,276967,24516,891,325,559,5601,604,1
91,202459,13369,341,305,512,2795,1068,1
33,336593,12297,257,175,431,1325,378,1
90,30351,1542,57,25,46,307,94,0
75,136484,3157,84,92,132,583,157,0
99,90999,2749,54,59,150,583,100,0
23,117856,4603,115,95,183,818,154,0
12,200004,18486,252,302,1072,5363,1458,1
69,107795,4990,184,124,257,1287,163,0
39,355605,22745,629,631,774,2807,401,1
17,213124,18558,501,268,665,5166,743,1
38,294106,19559,870,539,576,5506,1528,1
31,432794,35563,1149,657,2000,4347,1077,1
